,n_commits
2015-04-01,43
2015-05-01,16
2015-06-01,13
2015-07-01,34
2015-08-01,5
2015-09-01,19
2015-10-01,8
2015-11-01,11
2015-12-01,7
2016-01-01,16
2016-02-01,42
2016-03-01,24
2016-04-01,35
2016-05-01,8
2016-06-01,5
2016-07-01,5
2016-08-01,6
2016-09-01,23
2016-10-01,2
2016-11-01,13
2016-12-01,9
2017-01-01,22
2017-02-01,10
2017-03-01,7
2017-04-01,11
2017-05-01,14
2017-06-01,7
2017-07-01,0
2017-08-01,12
2017-09-01,5
2017-10-01,14
2017-11-01,7
2017-12-01,31
2018-01-01,107
2018-02-01,122
2018-03-01,93
2018-04-01,83
2018-05-01,40
2018-06-01,34
2018-07-01,18
2018-08-01,12
2018-09-01,34
2018-10-01,22
2018-11-01,30
2018-12-01,26
2019-01-01,23
2019-02-01,17
2019-03-01,26
2019-04-01,29
2019-05-01,13
2019-06-01,50
2019-07-01,6
2019-08-01,27
2019-09-01,18
2019-10-01,16
2019-11-01,27
2019-12-01,25
2020-01-01,5
2020-02-01,14
2020-03-01,33
2020-04-01,19
2020-05-01,17
2020-06-01,29
2020-07-01,10
2020-08-01,6
2020-09-01,8
2020-10-01,4
2020-11-01,0
2020-12-01,0
2021-01-01,16
2021-02-01,11
2021-03-01,2
2021-04-01,12
2021-05-01,10
2021-06-01,2
2021-07-01,9
2021-08-01,13
2021-09-01,5
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,4
